; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065206784,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1537232419,"CurrentTimeLocal","Mon Sep 17 18:00:19 2018","Hostname","nid01799","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 5.7e-05
; "Time_ContextDestroy [ms]", 2.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,5,1,"Success",0.000153,0.020195,0.015354,6.8e-05,0.000228,8.2e-05,3.3e-05,0.0004,0.036765,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,6,1,"Success",0.000167,0.020132,0.015257,5.8e-05,0.00024,9.8e-05,3.2e-05,0.000431,0.036673,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,7,1,"Success",0.000188,0.034106,0.026513,7e-05,0.000259,0.000113,2.4e-05,0.000388,0.06191,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,8,1,"Success",0.000166,0.020194,0.015135,7e-05,0.000232,8.1e-05,3.3e-05,0.000433,0.036566,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,9,1,"Success",0.000167,0.020487,0.015184,7e-05,0.00024,8.1e-05,3.2e-05,0.000335,0.036852,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,10,1,"Success",0.000172,0.020133,0.01525,5.9e-05,0.000238,9.2e-05,3.3e-05,0.000392,0.036636,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,11,1,"Success",0.000171,0.020232,0.015317,6.7e-05,0.000192,8.1e-05,3.3e-05,0.000387,0.03674,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,0,2,"Warmup",0.000144,0.02462,0.018323,0.000117,0.00029,0.000194,5.8e-05,0.0005,0.044539,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,1,2,"Warmup",0.000142,0.023953,0.018052,7.4e-05,0.000283,0.000194,3.4e-05,0.000458,0.043502,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,2,2,"Success",0.000145,0.023357,0.017535,8.3e-05,0.000278,0.00013,3.4e-05,0.000463,0.042336,128,0,128,0,0
