; "SupportedThreads",272,"UsedThreads",272,"TotalMemory",101215670272,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1536876047,"CurrentTimeLocal","Thu Sep 13 15:00:47 2018","Hostname","nid07929","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00028
; "Time_ContextDestroy [ms]", 0.00028
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,4,1,"Success",0.0101,0.095771,0.059981,0.00072,0.00193,0.00099,0.00015,0.316044,0.487006,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,5,1,"Success",0.00947,0.095381,0.061791,0.00055,0.00203,0.00102,0.00015,0.316594,0.488486,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,6,1,"Success",0.00948,0.096271,0.058031,0.00085,0.00186,0.00097,0.00016,0.315554,0.484766,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,7,1,"Success",0.01006,0.097052,0.06116,0.0007,0.0018,0.000961,0.00015,0.313803,0.487206,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,8,1,"Success",0.00981,0.095962,0.05983,0.00082,0.00208,0.001,0.00016,0.314594,0.485676,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,9,1,"Success",0.00969,0.095762,0.06205,0.00085,0.00193,0.00096,0.00016,0.315324,0.488106,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,10,1,"Success",0.00927,0.095082,0.06098,0.00083,0.00198,0.00098,0.00016,0.316124,0.486766,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,11,1,"Success",0.00897,0.095152,0.06068,0.00092,0.00179,0.00098,0.00015,0.318534,0.488706,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,0,2,"Warmup",0.01064,0.100801,0.060631,0.00037,0.00208,0.00102,0.00014,0.404225,0.581497,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,1,2,"Warmup",0.00984,0.096511,0.062261,0.00025,0.00191,0.00096,0.00015,0.316954,0.490406,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,2,2,"Success",0.00954,0.095151,0.060101,0.00028,0.00205,0.00095,0.00016,0.315634,0.485276,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,3,2,"Success",0.00985,0.095401,0.060151,0.00035,0.00191,0.00096,0.00014,0.316574,0.486726,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,4,2,"Success",0.01021,0.095431,0.058491,0.00036,0.0019,0.00087,0.00015,0.316834,0.485646,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,5,2,"Success",0.01018,0.095361,0.060791,0.00036,0.00198,0.00097,0.00015,0.316664,0.487856,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,6,2,"Success",0.00967,0.095731,0.060241,0.00026,0.00191,0.00083,0.00014,0.349914,0.520176,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,7,2,"Success",0.01005,0.095901,0.061941,0.00036,0.00194,0.00096,0.00015,0.316954,0.489736,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,8,2,"Success",0.00996,0.095511,0.060571,0.00037,0.00212,0.00099,0.00015,0.317204,0.488126,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,9,2,"Success",0.00995,0.096461,0.059051,0.0003,0.00197,0.00095,0.00014,0.319114,0.489216,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,10,2,"Success",0.00963,0.096631,0.060631,0.00036,0.00189,0.00095,0.00016,0.318074,0.489696,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,11,2,"Success",0.01032,0.095702,0.06059,0.00036,0.00191,0.00095,0.00015,0.316554,0.487916,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,0,3,"Warmup",0.01078,0.120171,0.78059,0.00118,0.033521,0.00187,0.00028,0.377084,1.327666,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,1,3,"Warmup",0.01141,0.117211,0.070211,0.00036,0.0029,0.00137,0.00015,0.347765,0.552857,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,2,3,"Success",0.01034,0.105681,0.067441,0.00035,0.00259,0.00103,0.00015,0.344754,0.534137,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,3,3,"Success",0.01058,0.105572,0.07013,0.00035,0.00287,0.00111,0.00016,0.441066,0.633448,256,0,256,0,0
